Phase,Mag,MagErr,Curve
0.000000,14.425415,0.013333,14.452587
0.037936,14.408957,0.012333,14.433419
0.072296,14.394143,0.012667,14.407026
0.106653,14.379665,0.012000,14.382550
0.141032,14.380186,0.012000,14.369214
0.194180,14.355475,0.012000,14.376876
0.235946,14.372369,0.012000,14.396120
0.281739,14.400621,0.011667,14.410989
0.316108,14.408140,0.012000,14.411643
0.356747,14.397029,0.012000,14.404561
0.407247,14.405638,0.011333,14.399555
0.445452,14.410846,0.011000,14.406694
0.487453,14.425076,0.011333,14.422865
0.530995,14.439647,0.011000,14.437738
0.586818,14.443283,0.011667,14.438210
0.621194,14.418470,0.011667,14.427240
0.655554,14.396991,0.011333,14.411587
0.689934,14.390179,0.011000,14.395444
0.725646,14.390707,0.011000,14.381792
